# 5G Channel OFDM        VHT20          VHT40          VHT80          VHT160          Txstream_Delta   TxSpatialStream_Delta   
Band: 5G OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 VHT80_MCS0 VHT80_MCS1 VHT80_MCS2 VHT80_MCS3 VHT80_MCS4 VHT80_MCS5 VHT80_MCS6 VHT80_MCS7 VHT80_MCS8 VHT80_MCS9 VHT160_MCS0 VHT160_MCS1 VHT160_MCS2 VHT160_MCS3 VHT160_MCS4 VHT160_MCS5 VHT160_MCS6 VHT160_MCS7 VHT160_MCS8 VHT160_MCS9 Txstream_3T Txstream_2T Txstream_1T Txstream_1SS Txstream_2SS Txstream_3SS Txstream_4SS
Ch104 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch108 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch112 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch116 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch120 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch124 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch128 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch132 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch136 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch140 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch144 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch149 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch153 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch157 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch161 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch165 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch169 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch173 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch177 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
Ch181 30  30  30  30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 30 30  30  30  30 30 30 1 3 6 0 3 5 6
